Data Type,Algorithm,Data Size,Time (seconds)
Ordered,Quick Select,10000,0.0488612
Reverse,Quick Select,10000,0.0508183
Random,Quick Select,10000,0.014225
Ordered,Linear Select,10000,0.0010716
Reverse,Linear Select,10000,0.0011216
Random,Linear Select,10000,0.0006262
Ordered,Quick Select,20000,0.199698
Reverse,Quick Select,20000,0.204838
Random,Quick Select,20000,0.0521083
Ordered,Linear Select,20000,0.0021269
Reverse,Linear Select,20000,0.0021545
Random,Linear Select,20000,0.0022559
Ordered,Quick Select,30000,0.442718
Reverse,Quick Select,30000,0.462532
Random,Quick Select,30000,0.0895494
Ordered,Linear Select,30000,0.0031975
Reverse,Linear Select,30000,0.0032894
Random,Linear Select,30000,0.0034473
Ordered,Quick Select,40000,0.790959
Reverse,Quick Select,40000,0.813338
Random,Quick Select,40000,0.161634
Ordered,Linear Select,40000,0.0045107
Reverse,Linear Select,40000,0.0044101
Random,Linear Select,40000,0.0046501
Ordered,Quick Select,50000,1.23513
Reverse,Quick Select,50000,1.27909
Random,Quick Select,50000,0.25364
Ordered,Linear Select,50000,0.0024974
Reverse,Linear Select,50000,0.0029492
Random,Linear Select,50000,0.0031304
Ordered,Quick Select,60000,1.77979
Reverse,Quick Select,60000,1.83928
Random,Quick Select,60000,0.391954
Ordered,Linear Select,60000,0.0062924
Reverse,Linear Select,60000,0.0065459
Random,Linear Select,60000,0.0069676
Ordered,Quick Select,70000,2.423
Reverse,Quick Select,70000,2.51117
Random,Quick Select,70000,0.23775
Ordered,Linear Select,70000,0.0074327
Reverse,Linear Select,70000,0.0077017
Random,Linear Select,70000,0.0079553
Ordered,Quick Select,80000,3.15699
Reverse,Quick Select,80000,3.27997
Random,Quick Select,80000,0.478001
Ordered,Linear Select,80000,0.0085511
Reverse,Linear Select,80000,0.0088187
Random,Linear Select,80000,0.0093297
Ordered,Quick Select,90000,4.00496
Reverse,Quick Select,90000,4.1396
Random,Quick Select,90000,0.686415
Ordered,Linear Select,90000,0.0087367
Reverse,Linear Select,90000,0.0094024
Random,Linear Select,90000,0.0100789
Ordered,Quick Select,100000,4.95731
Reverse,Quick Select,100000,5.12193
Random,Quick Select,100000,0.919498
Ordered,Linear Select,100000,0.0099076
Reverse,Linear Select,100000,0.0102629
Random,Linear Select,100000,0.0106969
